Comuna;Atenciones
01-popular;2057
02-santa cruz;882
03-manrique;1976
04-aranjuez;2327
05-castilla;3228
06-doce de octubre;2346
07-robledo;2572
08-villa hermosa;3079
09-buenos aires;1623
10-la candelaria;1585
11-laureles estadio;1108
12-la américa;1850
13-san javier;3625
14-el poblado;493
15-guayabal;1056
16-belén;4119
50-corregimiento de san sebastián de palmitas;878
60-corregimiento de san cristóbal;2006
70-corregimiento de altavista;1186
80-corregimiento de san antonio de prado;2806
90-corregimiento de santa elena;907
99-otro;131
